sku,name,description,price,currency,stock,category,tags
SKU-1001,Trail Backpack 30L,Lightweight pack for day hikes,79.99,USD,42,Bags,"hiking,water-resistant"
SKU-1002,Merino Tee,Soft breathable t-shirt,39.50,USD,120,Apparel,"merino,wool,summer"
SKU-1003,Running Shorts,Quick-dry athletic shorts,29.99,USD,85,Apparel,"running,athletic,summer"
SKU-1004,Hiking Boots,Waterproof trail boots,149.95,USD,36,Footwear,"hiking,waterproof,boots"
SKU-1005,Water Bottle,Insulated steel bottle 32oz,24.99,USD,200,Accessories,"water,insulated,outdoor"
SKU-1006,Camping Tent,2-person lightweight tent,199.99,USD,15,Gear,"camping,tent,outdoor"
SKU-1007,Fleece Jacket,Warm fleece for cool weather,69.99,USD,75,Apparel,"fleece,warm,outdoor"
SKU-1008,Sleeping Bag,4-season rated sleeping bag,129.99,USD,28,Gear,"sleeping,camping,warm"
SKU-1009,Trekking Poles,Adjustable carbon fiber poles,89.99,USD,60,Accessories,"trekking,poles,hiking"
SKU-1010,Headlamp,LED headlamp with red mode,34.99,USD,150,Electronics,"light,led,camping"
SKU-1011,Down Jacket,Lightweight down insulation,179.99,USD,45,Apparel,"down,warm,light"
SKU-1012,Hiking Socks,Merino wool hiking socks,16.99,USD,300,Apparel,"socks,merino,hiking"
SKU-1013,First Aid Kit,Complete wilderness first aid,49.99,USD,80,Safety,"first-aid,safety,emergency"
SKU-1014,Portable Stove,Lightweight camping stove,59.99,USD,95,Gear,"stove,cooking,camping"
SKU-1015,Rain Jacket,Waterproof breathable shell,119.99,USD,55,Apparel,"rain,waterproof,shell"
